"DATE","REC_IND","REC_PROB","GDP","UNRATE","CONS_OP"
"1967-07-01",0,0.5,4581.309,3.8,101.105607426427
"1967-10-01",0,0,4615.853,4,100.834685608884
"1968-01-01",0,2.45,4709.993,3.7,101.071959761476
"1968-04-01",0,0,4788.688,3.5,100.725313805562
"1968-07-01",0,0.02,4825.799,3.7,100.613922371
"1968-10-01",0,0,4844.779,3.4,100.680186212302
"1969-01-01",0,0,4920.605,3.4,101.149474557471
"1969-04-01",0,0.27,4935.564,3.4,100.593503207312
"1969-07-01",0,0.08,4968.164,3.5,99.9169014726422
"1969-10-01",0,7.1,4943.935,3.7,99.2362270142218
"1970-01-01",1,66.42,4936.594,3.9,98.9507990400683
"1970-04-01",1,60.5,4943.6,4.6,98.7466080005625
"1970-07-01",1,56.35,4989.159,5,98.8066393346398
"1970-10-01",1,92.7,4935.693,5.5,98.4726925142929
"1971-01-01",0,0.12,5069.746,5.9,98.9200104550145
"1971-04-01",0,0.02,5097.179,5.9,99.2389578697514
"1971-07-01",0,0.48,5139.128,6,99.4037005158671
"1971-10-01",0,0,5151.245,5.8,99.6019479117934
"1972-01-01",0,0,5245.974,5.8,100.472515269393
"1972-04-01",0,0,5365.045,5.7,100.387480362929
"1972-07-01",0,0.15,5415.712,5.6,100.829424825236
"1972-10-01",0,0,5506.396,5.6,100.415240846123
"1973-01-01",0,0,5642.669,4.9,99.4813602320031
"1973-04-01",0,0.45,5704.098,5,98.8267257864647
"1973-07-01",0,0,5674.1,4.8,98.4279750837272
"1973-10-01",0,0,5727.96,4.6,98.5005245676812
"1974-01-01",1,26.45,5678.713,5.1,97.460221277911
"1974-04-01",1,18.92,5692.21,5.1,98.0172327357924
"1974-07-01",1,51.82,5638.411,5.5,97.4568100626335
"1974-10-01",1,96.9,5616.526,6,96.813832169632
"1975-01-01",1,99.98,5548.156,8.1,96.8200726837346
"1975-04-01",0,22.05,5587.8,8.8,98.1949634667043
"1975-07-01",0,0.02,5683.444,8.6,98.6774961524158
"1975-10-01",0,0,5759.972,8.4,98.8282547258154
"1976-01-01",0,0,5889.5,7.9,99.5839689947193
"1976-04-01",0,0,5932.711,7.7,99.7209653539218
"1976-07-01",0,0,5965.265,7.8,100.20500025852
"1976-10-01",0,0.18,6008.504,7.7,100.065370757751
"1977-01-01",0,0.15,6079.494,7.5,100.069460975186
"1977-04-01",0,0,6197.686,7.2,100.342675214933
